ticker,name,current_price,per,forward_per,pbr,eps,forward_eps,bps,dividend_yield,industry_per,target_price,opinion,high_52w,low_52w,recent_high,recent_low,ma_200,trend,momentum_12m,drop_52w,volatility_60d,smart_guide,momentum_diag,risk_grade,updated_at
058610,에스피지,92700.0,225.0,,7.97,412.0,,11633.0,,,,,165700.0,25200.0,123800.0,77400.0,98778.0,▼ 하락추세,2.6568,-0.4406,1.2448,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
060370,LS마린솔루션,33800.0,171.57,,2.74,197.0,,12341.0,,,,,51600.0,21650.0,34800.0,24700.0,30547.0,▲ 수급유입,0.2588,-0.345,0.8952,▲ 분할매수,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
062040,산일전기,202500.0,41.4,22.752851,10.51,4891.0,,19269.0,,,313333.34,매수,341000.0,101700.0,207500.0,131400.0,177617.0,▲ 수급유입,0.8032,-0.4062,1.0425,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
064760,티씨케이,238500.0,38.67,,5.39,6167.0,,44219.0,,,,,348500.0,101300.0,259000.0,152100.0,218339.0,▲ 수급유입,1.5211,-0.3156,1.08,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
066970,엘앤에프,134800.0,-7.26,58.46213,7.71,-14393.0,,17482.0,,,180640.0,매수,225000.0,59200.0,137500.0,68600.0,127446.0,▲ 수급유입,1.0675,-0.4009,1.0443,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
067310,하나마이크론,35350.0,61.48,,5.88,575.0,,6007.0,,,,,58500.0,12570.0,43350.0,27550.0,34518.0,━ 박스권세,2.1422,-0.3957,1.1855,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
069500,KODEX 200,107180.0,,,,,,,,,,,152455.0,42370.0,114710.0,95720.0,91478.0,━ 박스권세,1.4966,-0.297,0.9106,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
071050,한국금융지주,191300.0,5.83,4.729391,0.93,32808.0,,205667.0,,,320250.0,매수,300500.0,127000.0,214500.0,178200.0,211753.0,▼ 하락추세,0.3558,-0.3634,0.7727,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
071970,HD현대마린엔진,53100.0,10.91,9.750276,3.68,4867.0,,14413.0,,,111500.0,적극매수,118200.0,46500.0,61800.0,47050.0,77524.0,▼ 하락추세,-0.1918,-0.5508,1.0078,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
075580,세진중공업,10660.0,11.96,10.319458,2.65,891.0,,4019.0,,,22000.0,none,27400.0,8500.0,12190.0,9300.0,16451.0,▼ 하락추세,-0.1646,-0.6109,0.8442,▼ 바닥확인,▼ 자금이탈,▼ 소액접근,2026-08-30 09:01:30
077970,STX엔진,25300.0,13.68,,2.96,1850.0,,8545.0,,,,none,67700.0,18830.0,30850.0,20900.0,34609.0,▼ 하락추세,0.0882,-0.6263,1.0131,▼ 바닥확인,▲ 시장동행,▼ 소액접근,2026-08-30 09:01:30
078600,대주전자재료,91800.0,68.76,,5.48,1335.0,,16760.0,,,,,183300.0,58900.0,99100.0,65600.0,98036.0,▼ 하락추세,0.1969,-0.4992,1.012,▼ 바닥확인,▲ 시장동행,▼ 소액접근,2026-08-30 09:01:30
078930,GS,129200.0,15.32,10.435974,0.83,8434.0,,155303.0,,,117671.43,매수,133200.0,43650.0,133200.0,69500.0,71964.0,▲ 수급유입,1.5892,-0.03,0.7342,▲ 추세탑승,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
080220,제주반도체,76700.0,66.87,,11.38,1147.0,,6742.0,,,,,138000.0,14190.0,94800.0,58000.0,54779.0,━ 박스권세,3.7997,-0.4442,1.4223,▲ 분할매수,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
082740,한화엔진,48250.0,23.17,13.934155,7.24,2082.0,,6666.0,,,92750.0,적극매수,94400.0,35800.0,49900.0,35800.0,51963.0,▼ 하락추세,0.3515,-0.4889,0.9439,▼ 바닥확인,▲ 실적지속,▼ 소액접근,2026-08-30 09:01:30
083650,비에이치아이,65400.0,31.04,,11.4,2107.0,,5739.0,,,,,114200.0,33150.0,66800.0,36900.0,68163.0,▼ 하락추세,0.5245,-0.4273,1.2673,▼ 바닥확인,▲ 주도대장,▼ 소액접근,2026-08-30 09:01:30
